Show,Date,Placement,Artist,Song,Total,Digital sales,Broadcast,Voting,Physical album,Video views
Music Bank,04-05-2024,2.0,ILLIT,Magnetic,"4,913",903,"2,614",518,860,18.0
Music Bank,03-29-2024,1.0,THE BOYZ,Nectar,"9,747",91,"2,749","2,000","4,902",5.0
Music Bank,03-29-2024,2.0,(G)I-DLE,Fate,"3,794","3,250",23,144,251,126.0
Music Bank,03-22-2024,1.0,Highlight,BODY,"7,255",247,"4,659","1,388",959,2.0
Music Bank,03-22-2024,2.0,WENDY,Wish You Hell,"6,892",226,"3,175","2,000","1,489",2.0
Music Bank,03-15-2024,1.0,LE SSERAFIM,EASY,"4,492","2,368","1,712",36,198,178.0
Music Bank,03-15-2024,2.0,NCT WISH,WISH,"4,374",22,"1,330",667,"2,354",1.0
Music Bank,03-08-2024,1.0,Cravity,Love or Die,"7,432",10,"3,527","2,000","1,894",1.0
Music Bank,03-08-2024,2.0,LE SSERAFIM,EASY,"5,033","2,080","2,293",172,282,206.0
Music Bank,03-01-2024,1.0,LE SSERAFIM,EASY,"9,874","1,156","3,555",930,"4,016",217.0
Music Bank,03-01-2024,2.0,Twice,ONE SPARK,"8,165",36,"1,932","2,000","3,838",359.0
Music Bank,02-23-2024,1.0,TWS,plot twist,"4,896","2,090","1,483",716,600,7.0
Music Bank,02-23-2024,2.0,TEN,Nightwalker,"3,739",0,0,"2,000","1,728",3.0
Music Bank,02-16-2024,1.0,P1Harmony,Killin' It,"8,694",6,"3,451","2,000","3,233",4.0
Music Bank,02-16-2024,2.0,(G)I-DLE,Super Lady,"4,574","1,271","3,063",167,0,73.0
Music Bank,02-09-2024,1.0,IU,Love wins all,"3,389","3,007",39,302,0,41.0
Music Bank,02-09-2024,2.0,(G)I-DLE,Super Lady,"3,207",797,"1,988",344,0,78.0
Music Bank,02-09-2024,3.0,BTS,Dynamite,"2,887",528,8,"2,000",7,344.0
Music Bank,02-02-2024,1.0,EVNNE,UGLY,"6,734",9,"2,787","2,000","1,937",1.0
Music Bank,02-02-2024,2.0,TWS,plot twist,"5,999",230,"2,795",199,"2,774",1.0
Music Bank,01-26-2024,1.0,NMIXX,DASH,"11,952",360,"3,297","1,260","7,014",21.0
Music Bank,01-26-2024,2.0,JD1,who Am I,"2,499",85,"1,893",521,0,0.0
Music Bank,04-04-2025,1.0,TEN,STUNNER,"7,752",28,"4,050","2,000","1,666",8.0
Music Bank,04-04-2025,2.0,KiiiKiii,I DO ME,"7,148","1,242","3,613",56,"2,218",19.0
Music Bank,03-28-2025,1.0,NMIXX,KNOW ABOUT ME,"11,040",296,"4,804","2,000","3,924",16.0
Music Bank,03-28-2025,2.0,THE BOYZ,VVV,"6,667",32,"2,675","1,813","2,144",3.0
Music Bank,03-21-2025,1.0,LE SSERAFIM,HOT,"9,917",206,"4,500","2,000","3,157",54.0
Music Bank,03-21-2025,2.0,G-Dragon,TOO BAD (feat. Anderson Paak),"5,694","3,276",12,"1,933",371,102.0
Music Bank,03-14-2025,1.0,G-Dragon,TOO BAD (feat. Anderson Paak),"6,271","3,540",25,"2,000",561,145.0
Music Bank,03-14-2025,2.0,Infinite,Dangerous,"3,746",12,"3,053",0,678,3.0
Music Bank,03-07-2025,1.0,ZEROBASEONE,BLUE,"10,235",134,"3,530","2,000","4,563",8.0
Music Bank,03-07-2025,2.0,Hearts2Hearts,The Chase,"5,400",323,"3,530",41,"1,484",22.0
Music Bank,02-28-2025,1.0,ONF,The Stranger,"7,680",84,"3,297","2,000","2,296",3.0
Music Bank,02-28-2025,2.0,IVE,REBEL HEART,"3,885","2,797",785,78,52,173.0
Music Bank,02-21-2025,1.0,EVNNE,HOT MESS,"8,166",11,"3,835","2,000","2,319",1.0
Music Bank,02-21-2025,2.0,IVE,REBEL HEART,"5,649","2,756","1,212",974,532,175.0
Music Bank,02-14-2025,1.0,IVE,REBEL HEART,"11,520","2,576","1,757","2,000","5,019",168.0
Music Bank,02-14-2025,2.0,IVE,ATTITUDE,"4,890",958,"3,513",251,0,168.0
Music Bank,02-07-2025,1.0,Eunhyuk,UP N DOWN,"7,917",11,"1,800","2,000","4,105",1.0
Music Bank,02-07-2025,2.0,IVE,REBEL HEART,"5,014","2,280","2,577",23,0,134.0
Music Bank,01-31-2025,1.0,MINNIE,HER,"7,505",11,"3,536","2,000","1,945",13.0
Music Bank,01-31-2025,2.0,IVE,REBEL HEART,"4,148","2,039","1,911",57,0,141.0
Music Bank,01-31-2025,3.0,GOT7,PYTHON,"3,584",102,"1,899",0,"1,556",27.0
Music Bank,01-31-2025,4.0,aespa,Whiplash,"2,462","2,282",11,0,35,134.0
Music Bank,01-31-2025,5.0,ROSÉ,APT (with Bruno Mars),"2,357","2,316",0,0,41,0.0
