Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,05-18-2024,3.0,IVE,HEYA,"4,873",,,,,,,,
Show! Music Core,05-11-2024,1.0,SEVENTEEN,MAESTRO,"9,278","5,000","1,000","1,000",343,435.0,500.0,500.0,500.0
Show! Music Core,05-11-2024,2.0,IVE,HEYA,"5,923","2,892",520,646,"1,000",267.0,400.0,168.0,30.0
Show! Music Core,05-11-2024,3.0,Zico,SPOT! (feat. JENNIE),"5,050","4,120",0,355,168,52.0,350.0,5.0,0.0
Show! Music Core,05-04-2024,1.0,Lee Chan-won,A Travel to the Sky,"7,760","4,746","1,000",14,600,15.0,450.0,500.0,435.0
Show! Music Core,05-04-2024,2.0,Doyoung,Little Light,"7,514","5,000",426,36,100,500.0,500.0,452.0,500.0
Show! Music Core,05-04-2024,3.0,QWER,T.B.H,"5,790","4,981",2,28,300,66.0,400.0,12.0,1.0
Show! Music Core,04-27-2024,1.0,ILLIT,Magnetic,"6,067","5,000",110,175,150,286.0,260.0,38.0,48.0
Show! Music Core,04-27-2024,2.0,BOYNEXTDOOR,"Earth, Wind & Fire","5,154",762,"1,000","1,000",650,242.0,500.0,500.0,500.0
Show! Music Core,04-27-2024,3.0,BABYMONSTER,Sheesh,"3,121","1,678",39,830,102,167.0,280.0,20.0,5.0
Show! Music Core,04-20-2024,1.0,ILLIT,Magnetic,"6,503","5,000",330,181,301,296.0,300.0,38.0,57.0
Show! Music Core,04-20-2024,2.0,ONF,Bye My Monster,"4,092",988,311,263,675,405.0,450.0,500.0,500.0
Show! Music Core,04-20-2024,3.0,TOMORROW X TOGETHER,Deja Vu,"2,851",937,357,320,37,457.0,350.0,183.0,210.0
Show! Music Core,04-13-2024,1.0,ILLIT,Magnetic,"6,307","5,000",53,108,557,209.0,300.0,57.0,23.0
Show! Music Core,04-13-2024,2.0,TOMORROW X TOGETHER,Deja Vu,"5,653","2,065","1,000",502,86,500.0,500.0,500.0,500.0
Show! Music Core,04-13-2024,3.0,BIBI,Bam Yang Gang,"4,537","4,185",0,13,214,122.0,0.0,3.0,0.0
Show! Music Core,04-06-2024,1.0,NCT DREAM,Smoothie,"8,788",,,,,,,,
Show! Music Core,04-06-2024,2.0,BIBI,Bam Yang Gang,"5,010",,,,,,,,
Show! Music Core,04-06-2024,3.0,ILLIT,Magnetic,"4,902",,,,,,,,
Show! Music Core,03-30-2024,1.0,THE BOYZ,Nectar,"5,962",,,,,,,,
Show! Music Core,03-30-2024,2.0,BIBI,Bam Yang Gang,"5,456",,,,,,,,
Show! Music Core,03-30-2024,3.0,LE SSERAFIM,EASY,"4,212",,,,,,,,
Show! Music Core,03-16-2024,1.0,BIBI,Bam Yang Gang,"6,159","5,000",0,158,600,151.0,180.0,62.0,8.0
Show! Music Core,03-16-2024,2.0,LE SSERAFIM,EASY,"5,544","3,393",84,415,80,122.0,450.0,500.0,500.0
Show! Music Core,03-16-2024,3.0,TWS,plot twist,"5,003","3,674",0,78,300,146.0,400.0,242.0,163.0
